"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"952","2","Klassifikation oder Aufstellungssystematik","Klassifikation oder Aufstellungssystematik","0","0","0","items.cn_source","10","cn_source","","","","0","FA","","","","9999","0"
"952","3","Beilagenotiz","Beilagenotiz","0","0","0","items.materials","10","","","","","0","FA","","","","9999","0"
"952","4","Beschädigt","Beschädigt","0","0","0","items.damaged","10","DAMAGED","","","","0","FA","","","","9999","0"
"952","5","Benutzungseinschränkungen","Benutzungseinschränkungen","0","0","0","items.restricted","10","RESTRICTED","","","0","0","FA","","","","9999","0"
"952","6","Normalisierte Klassifikation für Sortierung (Koha)","Normalisierte Klassifikation für Sortierung (Koha)","0","0","0","items.cn_sort","-1","","","","0","0","FA","","","","9999","0"
"952","7","Nicht entleihbar","Nicht entleihbar","0","0","0","items.notforloan","10","NOT_LOAN","","","0","0","FA","","","","9999","0"
"952","8","Sammlung","Sammlung","0","0","0","items.ccode","10","CCODE","","","0","0","FA","","","","9999","0"
"952","9","Koha-Exemplarnummer (autom. generiert)","Koha-Exemplarnummer (autom. generiert)","0","0","0","items.itemnumber","-1","","","","0","0","FA","","","","9999","0"
"952","a","Heimatbibliothek","Heimatbibliothek","0","0","0","items.homebranch","10","branches","","","0","0","FA","","","","9999","0"
"952","b","Aktuelle Bibliothek","Aktuelle Bibliothek","0","0","0","items.holdingbranch","10","branches","","","0","0","FA","","","","9999","0"
"952","c","Aufstellungsort","Aufstellungsort","0","0","0","items.location","10","LOC","","","0","0","FA","","","","9999","0"
"952","d","Erwerbungsdatum","Erwerbungsdatum","0","0","0","items.dateaccessioned","10","","","dateaccessioned.pl","0","0","FA","","","","9999","0"
"952","e","Lieferant","Lieferant","0","0","0","items.booksellerid","10","","","","0","0","FA","","","","9999","0"
"952","f","Kodierter Standort-Qualifier","Kodierter Standort-Qualifier","0","0","0","items.coded_location_qualifier","10","","","","","0","FA","","","","9999","0"
"952","g","Kaufpreis","Kaufpreis","0","0","0","items.price","10","","","","0","0","FA","","","","9999","0"
"952","h","Jahrgang/Heft","Jahrgang/Heft","0","0","0","items.enumchron","10","","","","0","0","FA","","","","9999","0"
"952","i","Inventarnummer","Inventarnummer","0","0","0","items.stocknumber","10","","","","0","0","FA","","","","9999","0"
"952","j","Aufstellungsnummer","Aufstellungsnummer","0","0","0","items.stack","10","STACK","","","","0","FA","","","","9999","0"
"952","l","Anzahl Ausleihen","Anzahl Ausleihen","0","0","0","items.issues","10","","","","","0","FA","","","","9999","0"
"952","m","Anzahl Verlängerungen","Anzahl Verlängerungen","0","0","0","items.renewals","10","","","","","0","FA","","","","9999","0"
"952","n","Anzahl Vormerkungen","Anzahl Vormerkungen","0","0","0","items.reserves","10","","","","","0","FA","","","","9999","0"
"952","o","Signatur","Signatur","0","0","0","items.itemcallnumber","10","","","","0","0","FA","","","","9999","0"
"952","p","Barcode","Barcode","0","0","0","items.barcode","10","","","barcode.pl","0","0","FA","","","","9999","0"
"952","q","Fälligkeitsdatum","Fälligkeitsdatum","0","0","0","items.onloan","10","","","","","0","FA","","","","9999","0"
"952","r","Letzte Aktivität","Letzte Aktivität","0","0","0","items.datelastseen","10","","","","","0","FA","","","","9999","0"
"952","s","Letzte Ausleihe","Letzte Ausleihe","0","0","0","items.datelastborrowed","10","","","","","0","FA","","","","9999","0"
"952","t","Exemplarnummer","Exemplarnummer","0","0","0","items.copynumber","10","","","","","0","FA","","","","9999","0"
"952","u","URL","URL","0","0","0","items.uri","10","","","","1","0","FA","","","","9999","0"
